2024.06.24,11:15,2325.038,2325.770,2324.053,2325.483,1081
2024.06.24,11:30,2325.430,2327.938,2325.334,2327.608,1234
2024.06.24,11:45,2327.657,2328.054,2325.864,2326.190,1149
2024.06.24,12:00,2326.236,2326.676,2324.042,2325.799,1454
2024.06.24,12:15,2325.781,2326.576,2323.284,2325.028,1626
2024.06.24,12:30,2325.085,2327.169,2323.988,2325.517,1748
2024.06.24,12:45,2325.521,2327.824,2325.355,2327.604,1345
2024.06.24,13:00,2327.603,2328.391,2326.032,2328.069,1625
2024.06.24,13:15,2328.028,2331.227,2325.836,2330.605,2034
2024.06.24,13:30,2330.563,2333.831,2330.397,2331.151,3042
2024.06.24,13:45,2331.108,2332.327,2327.855,2328.052,2581
2024.06.24,14:00,2328.008,2331.633,2326.910,2329.576,2408
2024.06.24,14:15,2329.537,2331.057,2328.280,2329.448,1975
2024.06.24,14:30,2329.434,2333.639,2329.379,2333.099,1919
2024.06.24,14:45,2333.084,2333.663,2330.135,2330.709,1703
2024.06.24,15:00,2330.653,2333.113,2330.529,2332.312,1566
2024.06.24,15:15,2332.261,2332.851,2329.768,2330.594,1477
2024.06.24,15:30,2330.662,2331.557,2328.668,2329.557,1355
2024.06.24,15:45,2329.604,2329.866,2327.422,2327.626,1364
2024.06.24,16:00,2327.581,2329.735,2326.813,2329.485,1298
2024.06.24,16:15,2329.536,2329.734,2328.644,2328.911,1074
2024.06.24,16:30,2328.841,2331.401,2328.693,2331.112,1073
2024.06.24,16:45,2331.139,2332.215,2330.159,2331.641,1029
2024.06.24,17:00,2331.602,2332.034,2330.506,2331.860,1082
2024.06.24,17:15,2331.814,2332.069,2330.599,2331.712,1117
2024.06.24,17:30,2331.660,2333.164,2331.129,2332.402,1146
2024.06.24,17:45,2332.444,2332.492,2330.981,2331.972,1042
2024.06.24,18:00,2331.978,2333.582,2331.909,2333.508,1080
2024.06.24,18:15,2333.550,2334.014,2332.388,2333.502,1094
2024.06.24,18:30,2333.506,2334.239,2333.004,2333.875,967
2024.06.24,18:45,2333.861,2334.630,2333.316,2333.783,1012
2024.06.24,19:00,2333.804,2333.804,2331.800,2332.446,1022
2024.06.24,19:15,2332.480,2332.485,2330.922,2331.987,969
2024.06.24,19:30,2331.956,2333.282,2331.382,2332.760,941
2024.06.24,19:45,2332.761,2333.092,2331.328,2331.640,1055
2024.06.24,20:00,2331.607,2333.463,2331.607,2332.882,813
2024.06.24,20:15,2332.886,2333.263,2332.774,2332.975,530
2024.06.24,20:30,2332.980,2333.246,2332.449,2332.583,481
